group,names,scores,logfoldchanges,pvals,pvals_adj
23,NKAIN3,48.0481,3.1848187,0.0,0.0
23,AC083864.5,48.00211,5.831476,0.0,0.0
23,OPHN1,47.965855,2.816355,0.0,0.0
24,CCT2,76.63131,5.2362,0.0,0.0
24,EEF1A1,73.099815,4.1277285,0.0,0.0
24,CPSF6,72.68373,4.894294,0.0,0.0
24,RPL39,71.20358,4.8285484,0.0,0.0
24,RPLP1,66.32225,4.382127,0.0,0.0
24,RPS19,66.11347,4.265026,0.0,0.0
24,TMSB4X,62.669044,3.5508423,0.0,0.0
24,RPL10,62.35359,4.0650806,0.0,0.0
24,OS9,61.995625,3.987554,0.0,0.0
24,RPS18,61.92895,4.305139,0.0,0.0
25,RGS6,111.26327,6.024021,0.0,0.0
25,RYR3,103.0317,4.7580266,0.0,0.0
25,BEST3,99.41792,4.5262847,0.0,0.0
25,NPAS3,97.505455,2.6349971,0.0,0.0
25,LAMA2,95.983765,4.1132903,0.0,0.0
25,SLC4A4,95.516365,3.750078,0.0,0.0
25,KLHL4,95.27914,3.9026928,0.0,0.0
25,FRS2,93.036644,3.8490539,0.0,0.0
25,ALK,92.3555,3.8608825,0.0,0.0
25,EYA2,92.14205,3.7009056,0.0,0.0
26,DSCAM,76.4724,4.984743,0.0,0.0
26,SOX6,74.91768,3.6661885,0.0,0.0
26,PCDH15,74.52228,4.940779,0.0,0.0
26,FGF12,71.28355,4.3801966,0.0,0.0
26,GRIA4,70.43974,3.4142413,0.0,0.0
26,NFIB,67.809715,2.5934763,0.0,0.0
26,CDH20,67.47161,3.5631747,0.0,0.0
26,MMP16,66.31941,3.2343378,0.0,0.0
26,DLGAP1,65.1998,3.6180766,0.0,0.0
26,AC009041.2,64.83291,4.1979837,0.0,0.0
27,LRRC4C,23.941675,4.010121,1.1282326574618524e-126,3.8063185164790517e-122
27,ADARB2,22.852133,5.7270293,1.3917240483920638e-115,2.347629711030153e-111
27,GRM7,22.590467,4.985137,5.377595463383928e-113,6.047464604939453e-109
27,LRRC7,22.383419,4.524191,5.7094546976505325e-111,4.8154968283659e-107
27,PCDH15,22.351625,4.540712,1.1642632696939688e-110,7.855749985933085e-107
27,LRP1B,22.143751,2.550434,1.1983818173967298e-108,6.738301228918912e-105
27,KCNMB2,21.265339,4.1100454,2.3777067677425773e-100,1.1459527603333047e-96
27,TNR,21.018288,4.180819,4.462455141793774e-98,1.8818731139837066e-94
27,KCND2,20.970543,3.6747448,1.2186611822168616e-97,4.568219144938917e-94
27,NTM,20.907633,3.087276,4.5631417824400654e-97,1.539467143141805e-93
